               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.063343,            0.080652,            0.013225,             0.77155,             0.34166,             0.37134,             0.18416,             0.04034,            0.048141,           0.0027327,             0.07001,           0.0033323,           0.0033323
                   1,            0.045572,            0.073385,           0.0049592,             0.76413,             0.48308,             0.54453,             0.27605,            0.036645,            0.049408,           0.0021543,             0.03957,           0.0062257,           0.0062257
                   2,            0.041411,            0.070634,           0.0038566,             0.81372,             0.36374,             0.39303,             0.22076,            0.036426,            0.048734,           0.0019865,           0.0086899,           0.0086791,           0.0086791
                   3,            0.037682,            0.068113,           0.0030755,             0.81658,             0.37059,             0.40255,             0.23482,            0.035582,            0.046828,           0.0012958,             0.00802,             0.00802,             0.00802
                   4,             0.03557,            0.066098,           0.0023028,             0.81996,             0.37278,             0.41601,             0.24355,            0.034662,            0.048491,           0.0013321,             0.00802,             0.00802,             0.00802
                   5,             0.03362,            0.063157,            0.001826,             0.81301,             0.53816,             0.62041,             0.31464,            0.033814,            0.046461,           0.0011592,             0.00736,             0.00736,             0.00736
                   6,            0.032288,            0.061712,           0.0015663,             0.84023,             0.54216,             0.63199,             0.32521,            0.033451,            0.045461,          0.00091492,              0.0067,              0.0067,              0.0067
                   7,            0.030959,            0.059779,           0.0014403,             0.81817,             0.55809,             0.65044,              0.3346,            0.033225,            0.044559,          0.00075627,             0.00604,             0.00604,             0.00604
                   8,            0.029931,            0.058036,           0.0012819,             0.79479,             0.57546,             0.65099,             0.33812,            0.032724,               0.044,          0.00064867,             0.00538,             0.00538,             0.00538
                   9,             0.02938,            0.057394,            0.001205,             0.78974,             0.57908,             0.64872,             0.33385,             0.03268,            0.043866,           0.0006113,             0.00472,             0.00472,             0.00472
                  10,            0.028558,            0.056287,           0.0010854,             0.84062,             0.55357,             0.64736,             0.33461,            0.032534,            0.044436,          0.00042907,             0.00406,             0.00406,             0.00406
                  11,            0.028065,            0.054647,          0.00099576,             0.78757,             0.43142,             0.48879,             0.28323,            0.032323,            0.044015,          0.00056054,              0.0034,              0.0034,              0.0034
                  12,            0.027457,            0.054201,          0.00092905,             0.84011,             0.55917,             0.64383,             0.33547,            0.032108,            0.044971,          0.00051097,             0.00274,             0.00274,             0.00274
                  13,               0.027,            0.053852,          0.00082934,             0.84542,             0.57401,             0.66139,             0.34572,            0.031955,            0.043659,          0.00046943,             0.00208,             0.00208,             0.00208
                  14,            0.026648,            0.052787,          0.00081965,             0.88294,             0.39197,             0.44125,             0.27328,            0.031602,            0.043805,          0.00036822,             0.00142,             0.00142,             0.00142
